Text,Language,Terms
HelloWorld,English,HelloWorld
SalutLeMonde!,French,HelloWorld
HolaMundo,Spanish,HelloWorld
OláMundo,Portuguese,Hactoberfest2022
ЗдравствуйMир,Russian,HelloWorld
CiaoMondo,Italian,HelloWorld
HallóHeimur,Icelandic,Hactoberfest2022
HalloWereld,Dutch,HelloWorld
BunăLumea,Romanian,HelloWorld
Habari,Swahili,Python
HelloWorld,English,HelloWorld
HolaMundo,Spanish,Hactoberfest2022
Namaste,Hindi,Hactoberfest2022
Márhaban,Arabic,HelloWorld
AhojSvěte,Czech,HelloWorld
CiaoMondo,Italian,HelloWorld
HelloWorld,English,HelloWorld
HelloWorld,English,HelloWorld
HalooMaailma,Finnish,HelloWorld
HallåVärlden,Swedish,Python
Bongu,Maltese,Python
HelloWorld,English,Python
PẹlẹO,Yoruba,Python
XinChào,Vietnamese,Python
Γεια_σου_κόσμε,Greek,Python
XinChào,Vietnamese,Python
HalloWereld,Dutch,HelloWorld
HelloWorld,English,HelloWorld
HalooMaailma,Finnish,HelloWorld
SalutLeMonde!,French,Hactoberfest2022
HalloWelt,German,HelloWorld
HellóVilág,Hungarian,HelloWorld
HolaMundo,Spanish,HelloWorld
HelloWorld,English,HelloWorld
HelloWorld,English,HelloWorld
HelloWorld,English,HelloWorld
HalloWereld,Dutch,Python
Γεια_σου_κόσμε,Greek,HelloWorld
BunăLumea,Romanian,HelloWorld
HelloWorld,English,HelloWorld
HallóHeimur,Icelandic,Hactoberfest2022
HalloWelt,German,HelloWorld
SalutLeMonde!,French,Python
HalloWereld,Dutch,HelloWorld
HelloWorld,English,HelloWorld
Γεια_σου_κόσμε,Greek,Hactoberfest2022
HolaMundo,Spanish,Hactoberfest2022
SalutLeMonde!,French,HelloWorld
HelloWorld,English,HelloWorld
